Language,Phonemes
Korean,"['h', 'j', 'k', 'kʰ', 'kˀ', 'l', 'm', 'n', 'p', 'pʰ', 'pˀ', 's', 'sˀ', 't', 'tʰ', 'tˀ', 't̠ʃ', 't̠ʃʰ', 't̠ʃˀ', 'w', 'ŋ', 'ʔ', 'a', 'aː', 'e', 'eː', 'i', 'iː', 'o', 'oː', 'u', 'uː', 'y', 'æ', 'æː', 'ø', 'ɤ', 'ɤː', 'ɯ', 'ɯː', 'k͉', 'lː', 'p͉', 's͉', 'tɕ', 'tɕʰ', 't͉', 't͉ɕ͉', 'ia', 'ie', 'io', 'iu', 'iɛ', 'iʌ', 'ua', 'ue', 'ui', 'uɛ', 'uʌ', 'əː', 'ɛ', 'ɛː', 'ɯi', 'ʌ', 'b̥', 'd̥', 'd̥ʑ̥', 'sʰ', 'ɡ̊', 'ɾ', 'e̞', 'o̞̜', 'ɐ', 'ɑ̟ː', 'ɘː', 'ɛ̝', 'ɨi', 'ɪ', 'ɯ̽', 'ʊ̜']"
Ket,"['b', 'd', 'dʲ', 'h', 'k̟', 'lʲ', 'lˠ', 'm', 'n', 'nʲ', 'q', 's', 'sʲ', 't', 'tʲ', 'ŋ', 'ʔ', 'ʝ', 'a', 'aː', 'i', 'iː', 'uː', 'æ', 'æː', 'ɔ', 'ɔː', 'ɨ', 'ɨː', 'ɵ̞', 'ɵ̞ː', 'ʊ', 'j', 'k', 'n̺', 'p', 'qχ', 's̺', 'ɮ̺', 'ɾ', 'ä', 'e', 'o', 'u', 'ə', 'ɛ', 'ɯ', 'ʌ']"
Lak,"['b', 'd', 'h', 'j', 'kʰ', 'kʷʰ', 'kʷʼ', 'kʼ', 'k͈', 'k͈ʷ', 'l', 'm', 'n', 'pʰ', 'pʼ', 'p͈', 'qʰ', 'qʷʰ', 'qʷʼ', 'qʼ', 'q͈', 'q͈ʷ', 'r', 's', 's͈', 'tsʰ', 'tsʷʰ', 'tsʷʼ', 'tsʼ', 'tʰ', 'tʼ', 't̠ʃʰ', 't̠ʃʷʰ', 't̠ʃʷʼ', 't̠ʃʼ', 't̠͈ʃ', 't̠͈ʃʷ', 't͈', 't͈s', 't͈sʷ', 'w', 'x', 'xʷ', 'x͈', 'x͈ʷ', 'z', 'ħ', 'ɡ', 'ɢ', 'ɢʷ', 'ʃ', 'ʃʷ', 'ʃ͈', 'ʃ͈ʷ', 'ʒ', 'ʔ', 'χ', 'χʷ', 'χ͈', 'χ͈ʷ', 'a', 'aː', 'e̞ˤ', 'i', 'iː', 'u', 'uː', 'æˤ', 'ø̞ˤ', 'd̪', 'k', 'kʷ', 'kʷː', 'kː', 'l̪', 'n̪', 'p', 'pː', 'q', 'qʷ', 'qʷː', 'qː', 'r̪', 's̪', 's̪ː', 't̠ʃ', 't̠ʃʷ', 't̠ʃʷː', 't̠ʃː', 't̪', 't̪s̪', 't̪s̪ʼ', 't̪s̪ː', 't̪ʼ', 't̪ː', 'xʷː', 'xː', 'z̪', 'ɣ', 'ɣʷ', 'ʁ', 'ʃʷː', 'ʃː', 'ʒʷ', 'ʜ', 'χʷː', 'χː', 'ä', 'ḛ', 'æ̰', 'ɑ̝', 'ɑ̝ː', 'ɞ̰']"
Kabardian,"['b', 'd̻', 'd̻z̻', 'f', 'fʼ', 'j', 'kʷʰ', 'kʷʼ', 'k̟ʲʰ', 'k̟ʲʼ', 'm', 'n̻', 'pʰ', 'pʼ', 'qχ', 'qχʷ', 'qχʷʼ', 'qχʼ', 'r', 's̻', 't̻s̻', 't̻s̻ʼ', 't̻ʰ', 't̻ʼ', 'v', 'w', 'xʷ', 'x̟ʲ', 'z̻', 'ç̟', 'ħ', 'ɡʷ', 'ɡ̟ʲ', 'ɣ̟ʲ', 'ɦ', 'ɬʲ', 'ɬʲʼ', 'ɮʲ', 'ʁ', 'ʁʷ', 'ʃ', 'ʃʼ', 'ʒ', 'ʔ', 'ʔʷ', 'ʕ', 'ʝ̟', 'χ', 'χʷ', 'a̟ː', 'e̞ː', 'iː', 'o̞ː', 'uː', 'ɜ', 'ɨ', 'd', 'dz', 'd̠ʒ', 'kʷ', 'n', 'p', 'q', 'qʷ', 'qʷʼ', 'qʼ', 's', 't', 'ts', 'tsʼ', 'tʼ', 't̠ʃ', 't̠ʃʼ', 'x', 'z', 'ɣ', 'ɬ', 'ɬʼ', 'ɮ', 'ʆ', 'ʆʼ', 'ʓ', 'ä', 'o̞', 'ɑː', 'ə', 'dʑ', 'kʼ', 'l', 'tsʷʼ', 'tɕ', 'tɕʼ', 'tʷʼ', 'zʷ', 'ɕ', 'ʑ', 'h', 'kʲʼ', 'qʰ', 'qʷʰ', 'tʰ', 'ç', 'ɡʲ', 'ɾ', 'ʝ', 'äː', 'eː', 'oː', 'ɐ']"
Georgian,"['h', 'j', 'k', 'kʰ', 'kʼ', 'lˠ', 'm', 'n', 'p', 'pʰ', 'pʼ', 'qʼ', 'r', 's', 't', 'ts', 'tsʰ', 'tsʼ', 'tʰ', 'tʼ', 't̠ʃ', 't̠ʃʰ', 't̠ʃʼ', 'z', 'ʁ', 'ʃ', 'ʒ', 'β', 'χ', 'a̟', 'e̞', 'o̞', 'ə̆', 'ɪ', 'ʊ', 'b', 'dz', 'd̠ʒ', 'd̪', 'n̪', 'qχʼ', 't̪ʰ', 't̪ʼ', 'ɡ', 'ɫ', 'ɾ', 'ʋ', 'i', 'u', 'ɑ', 'ɔ', 'ɛ']"
Burushaski,"['b', 'd', 'd̠ʒ', 'f', 'h', 'j', 'k', 'kʰ', 'l', 'm', 'n', 'p', 'pʰ', 'q', 'qʰ', 'r', 's', 't', 'ts', 'tsʰ', 'tʰ', 't̠ʃ', 't̠ʃʰ', 'w', 'z', 'ŋ', 'ɖ', 'ɖʐ', 'ɡ', 'ʁ', 'ʂ', 'ʃ', 'ʈ', 'ʈʂ', 'ʈʂʰ', 'ʈʰ', 'ʐ͇', 'χ', '˥˦', '˧', '˩˨', 'a', 'aː', 'ãː', 'e̞', 'e̞ː', 'i', 'iː', 'o̞', 'o̞ː', 'u', 'uː', 'ũː', 'dʑ', 'tɕ', 'tɕʰ', 'x', 'ɕ', 'ɬ', 'äː', 'o', 'oː', 'ɛ', 'ɛː', 'ʌ', 'ɢ', 'ʐʲ', 'ã̈ː', 'ĩ', 'ĩː', 'õ', 'õː', 'ũ', 'æ', 'ɛ̃', 'ɛ̃ː', 'ʌ̃']"
Kurukh,"['b', 'b̤', 'd̠ʒ', 'd̠ʒː', 'd̠ʒ̤', 'd̪', 'd̪ː', 'd̪̤', 'h', 'j', 'jː', 'k', 'kʰ', 'kː', 'l', 'lː', 'm', 'n̪', 'p', 'pʰ', 'pː', 'r', 'rː', 'r̠', 's̪', 's̪ː', 't̠ʃ', 't̠ʃʰ', 't̠ʃː', 't̪', 't̪ʰ', 't̪ː', 'w', 'wː', 'ŋ', 'ɖ', 'ɖː', 'ɖ̤', 'ɡ', 'ɡ̤', 'ɳ', 'ʈ', 'ʈʰ', 'ʈː', 'ʔ', 'χ', 'a', 'aː', 'ã', 'ãː', 'e̞', 'e̞ː', 'ẽ̞', 'ẽ̞ː', 'i', 'iː', 'ĩ', 'ĩː', 'o̞', 'o̞ː', 'õ̞', 'õ̞ː', 'u', 'uː', 'ũ', 'ũː', 'ə', 'əː']"
Telugu,"['b', 'bː', 'b̤', 'd', 'dz', 'dzː', 'dː', 'd̤', 'f', 'j', 'k', 'kʰ', 'kː', 'l', 'lː', 'm', 'mː', 'n', 'nː', 'p', 'pʰ', 'pː', 'rː', 's', 't', 'ts', 'tsː', 'tː', 't̠ʃ', 'ɖ', 'ɖː', 'ɖ̤', 'ɡ', 'ɡː', 'ɡ̤', 'ɦ', 'ɭ', 'ɭː', 'ɳ', 'ɾ', 'ʂ', 'ʃ', 'ʈ', 'ʈʰ', 'ʈː', 'β̞', 'β̞ː', 'aː', 'e', 'eː', 'i', 'iː', 'o', 'oː', 'o̞', 'u', 'uː', 'æː', 'ɑ', 'ɒː', 'ɔː', 'ə', 'ɛ', 'ɛː', 'ɪ', 'ɪː', 'ʊ', 'ʊː', 'cç', 'cçʰ', 'd̪', 'd̪̤', 'h', 'n̪', 't̪', 't̪ʰ', 'v', 'w', 'ç', 'ŋ', 'ɟʝ', 'ɟ̤ʝ', 'ɡʱ', 'ɲ', 'ɽ', 'æ', 'bʰ', 'c', 'cʰ', 'd̪ʰ', 'l̪', 'r̪', 's̪', 'ɖʰ', 'ɟ', 'ɟʰ', 'ɡʰ', 'a']"
Kota,"['b', 'd', 'd̠ʒ', 'd̪', 'j', 'kʰ', 'l', 'm', 'n', 'pʰ', 'r', 'tʰ', 't̠ʃʰ', 't̪ʰ', 'v', 'ŋ', 'ɖ', 'ɡ', 'ɭ', 'ɳ', 'ɽ', 'ʂ', 'ʈʰ', 'a', 'aː', 'e̞', 'e̞ː', 'i', 'iː', 'o̞', 'o̞ː', 'u', 'uː', 'ə', 'cç', 'k', 'n̪', 'p', 's', 't', 't̪', 'w', 'ɟʝ', 'ɲ', 'ʈ', 'e', 'eː', 'o', 'oː', 'ɔ', 'ɪ', 'ʊ', 'ʌ']"
Mundari,"['b̤', 'd̠ʒ̤', 'd̤', 'h', 'j', 'k', 'kʰ', 'l', 'm', 'n', 'p', 'pʰ', 'r', 's', 't', 'tʰ', 't̠ʃ', 't̠ʃʰ', 'w', 'ŋː', 'ɖ̤', 'ɡ̤', 'ɭ', 'ɳ', 'ʈ', 'ʈʰ', 'ʔ', 'ˀb', 'ˀd', 'ˀd̠ʒ', 'ˀɖ', 'ˀɡ', 'a', 'e̞', 'o̞', 'ɪ', 'ʊ', 'b', 'cç', 'd̪', 'n̪', 't̪', 'ŋ', 'ɖ', 'ɟʝ', 'ɡ', 'ɲ', 'ɽ', 'ɾ', 'aː', 'e', 'eː', 'ẽ̞', 'i', 'iː', 'o', 'oː', 'u', 'uː', 'ũː', 'æ̞̃', 'ɑ̃', 'ɔ', 'ə', 'ɛ', 'ʊ̃', 'c', 'd', 'ɟ']"
